PLACEFP,NAME,x,y
57630,Northwood,-93.216808534979634,43.444073247554577
74415,Spirit Lake,-95.117075719108541,43.420216701382110
68160,Rock Rapids,-96.166029072588273,43.425894195389944
25860,Estherville,-94.833573178389983,43.399420557222371
72975,Sibley,-95.744697363329635,43.400891522527346
17220,Cresco,-92.116855850114817,43.371658970607783
19405,Decorah,-91.800023603262133,43.305834477842843
59745,Osage,-92.812020608485057,43.283071821996515
82740,Waukon,-91.478847896026423,43.267343811293202
28380,Forest City,-93.637249860376471,43.257994507497642
74280,Spencer,-95.151856039386246,43.146144690849177
50160,Mason City,-93.199053663019924,43.151429155772291
25590,Emmetsburg,-94.680407322796469,43.114671510115471
29955,Garner,-93.603237123057184,43.099016639521039
64650,Primghar,-95.621194275697036,43.086384180941295
01135,Algona,-94.226963066093575,43.074003445828730
12765,Charles City,-92.674562002076811,43.064573053754579
56100,New Hampton,-92.316898926901970,43.059322158797592
59475,Orange City,-96.057580722857324,43.002992477324426
84765,West Union,-91.813589330717377,42.958678548098675
24690,Elkader,-91.402402634482542,42.857612530996484
44400,Le Mars,-96.169340807834416,42.784478518616957
13080,Cherokee,-95.552646269410658,42.751188001639264
01315,Allison,-92.796047946756374,42.751742742769871
33960,Hampton,-93.204247478480625,42.742808051992483
82875,Waverly,-92.470145895347983,42.725096340666560
63975,Pocahontas,-94.666860403866039,42.736549223301594
13620,Clarion,-93.733357153736392,42.732232348202203
18075,Dakota City,-94.198124267146014,42.721808962376421
75630,Storm Lake,-95.199990574703250,42.644172013462871
82425,Waterloo,-92.351583489758752,42.491261810155095
73335,Sioux City,-96.365376158888424,42.488348858944548
22395,Dubuque,-90.697550513372263,42.502529218603513
28515,Fort Dodge,-94.177118568303115,42.507127585271668
48810,Manchester,-91.456514236741825,42.485894329763241
38100,Independence,-91.891223901391996,42.467707585667895
83145,Webster City,-93.817147432260029,42.463228418299266
69645,Sac City,-94.998238085193464,42.421699153949397
68295,Rockwell City,-94.629273032271328,42.398159660319095
24465,Eldora,-93.101546716783233,42.360578621965800
33195,Grundy Center,-92.774994446267868,42.363425455453914
38010,Ida Grove,-95.473230976353946,42.344115489021981
81210,Vinton,-92.030005844877550,42.162688149149076
01990,Anamosa,-91.279450231526724,42.109774381183982
11080,Carroll,-94.864561426519387,42.069648760811269
49215,Maquoketa,-90.666199370993809,42.064766307729869
07480,Boone,-93.877863780651111,42.052782381998902
49755,Marshalltown,-92.909997891163428,42.033931611352536
12000,Cedar Rapids,-91.674945440945478,41.966315090827329
59115,Onawa,-96.089644533185563,42.027435526323984
39450,Jefferson,-94.379288344652167,42.017279748037438
19945,Denison,-95.352072171842920,42.015451641738153
55695,Nevada,-93.453907235071867,42.017155169510531
78510,Toledo,-92.580607430566275,41.990255818128716
14430,Clinton,-90.203118507894075,41.854268511637557
49395,Marengo,-92.068003471831901,41.796591877188391
78285,Tipton,-91.128602426700994,41.770954401728218
03655,Audubon,-94.929274357296421,41.718195079779889
56505,Newton,-93.042750461641518,41.696649759128370
38595,Iowa City,-91.533422866349952,41.656553131124845
33420,Guthrie Center,-94.499194016484893,41.678103596629036
34500,Harlan,-95.327207344011555,41.649490545101628
46155,Logan,-95.791892222629897,41.643097411198262
21000,Des Moines,-93.618688044688227,41.577267365046779
00505,Adel,-94.026241692321520,41.611564547819370
19000,Davenport,-90.605611364474740,41.555535966947495
53490,Montezuma,-92.527846342827530,41.583250715037622
55110,Muscatine,-91.072104258598912,41.416009499704494
03520,Atlantic,-95.014829208607310,41.395494826511772
38280,Indianola,-93.566599720260172,41.360981081230442
86520,Winterset,-94.017805637026754,41.338512743613450
73110,Sigourney,-92.204715937759886,41.334151740240614
42015,Knoxville,-93.101078550264077,41.318545565527046
59925,Oskaloosa,-92.638591516063101,41.290439063789272
32790,Greenfield,-94.459413018859266,41.305360047551773
82335,Washington,-91.692751521776330,41.298722417493472
16860,Council Bluffs,-95.860070347943449,41.239595563624761
82200,Wapello,-91.189006141813252,41.177643445272174
60465,Ottumwa,-92.418669126080289,41.019645154705231
17265,Creston,-94.365092040991655,41.059280667404984
31350,Glenwood,-95.740193565554733,41.044780714844748
59835,Osceola,-93.777861499547171,41.032483335130763
00910,Albia,-92.803796127234492,41.027127091079940
26445,Fairfield,-91.967713759384495,41.007790244062839
12720,Chariton,-93.309819566639959,41.016811677388304
66135,Red Oak,-95.225237864595741,41.012949294504487
16500,Corning,-94.740225490459522,40.993118456512683
54705,Mount Pleasant,-91.545137701343023,40.962629829747407
09550,Burlington,-91.123984930805889,40.807466706408484
16635,Corydon,-93.317669856390410,40.757380529364411
07030,Bloomfield,-92.417336703873531,40.748815413434606
13575,Clarinda,-95.034255041105666,40.738000345049301
73065,Sidney,-95.644991811914593,40.746660642067958
44535,Leon,-93.754621288742001,40.740594338821985
12315,Centerville,-92.872828091502583,40.729917520536027
40935,Keosauqua,-91.960732850369382,40.734664049340282
54480,Mount Ayr,-94.238414031266089,40.713877472149278
05365,Bedford,-94.724227788614002,40.670976257328370
28605,Fort Madison,-91.348159306011084,40.624073400916586
